date,flight_number,carrier_code,airline,origin_city,origin_airport_code,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,status_code,status,final_status,delay_departure_min,delay_arrival_min,canceled,diverted
2026-07-24,1107,AKJ,Akasa Air,Mumbai,BOM,2026-07-24T20:55:00.000,2026-07-24T20:46:00.000,2026-07-24T23:50:00.000,2026-07-24T23:32:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,389,6E,IndiGo,Delhi,DEL,2026-07-24T21:50:00.000,2026-07-24T21:52:00.000,2026-07-25T00:05:00.000,2026-07-25T00:03:00.000,L,Arrived,On Time,2.0,0.0,False,False
2026-07-24,555,MU,China Eastern Airlines,Kunming,KMG,2026-07-24T23:55:00.000,2026-07-24T23:42:00.000,2026-07-25T00:10:00.000,2026-07-24T23:56:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,166,3L*,Air Arabia Abu Dhabi,Abu Dhabi,AUH,,,,,,,,,,,
2026-07-24,2727,AI,Air India,Delhi,DEL,2026-07-24T22:00:00.000,2026-07-24T21:52:00.000,2026-07-25T00:20:00.000,2026-07-24T23:56:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,319,6E,IndiGo,Ahmedabad,AMD,2026-07-24T22:00:00.000,2026-07-24T22:02:00.000,2026-07-25T00:40:00.000,2026-07-25T00:46:00.000,L,Arrived,On Time,2.0,6.0,False,False
2026-07-24,313,TG,Thai Airways International,Bangkok,BKK,2026-07-24T23:45:00.000,2026-07-24T23:53:00.000,2026-07-25T00:45:00.000,2026-07-25T00:59:00.000,L,Arrived,On Time,8.0,14.0,False,False
2026-07-24,952,6E,IndiGo,Bengaluru,BLR,2026-07-24T22:20:00.000,2026-07-24T22:10:00.000,2026-07-25T01:00:00.000,2026-07-25T00:39:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,247,6E,IndiGo,Delhi,DEL,2026-07-24T23:30:00.000,2026-07-25T00:25:00.000,2026-07-25T01:45:00.000,2026-07-25T02:37:00.000,L,Arrived,Delayed,55.0,52.0,False,False
2026-07-24,6921,6E,IndiGo,Pune,PNQ,2026-07-24T23:45:00.000,2026-07-24T23:35:00.000,2026-07-25T02:20:00.000,2026-07-25T02:14:00.000,L,Arrived,On Time,0.0,0.0,False,False
2026-07-24,173,AI,Air India,Delhi,DEL,2026-07-24T04:20:00.000,2026-07-24T04:25:00.000,2026-07-24T07:00:00.000,2026-07-24T07:25:00.000,L,Arrived,Delayed,5.0,25.0,False,False
