date,flight_number,carrier_code,airline,origin_city,origin_airport_code,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,status_code,status,final_status,delay_departure_min,delay_arrival_min,canceled,diverted
2026-07-24,247,6E,IndiGo,Delhi,DEL,2026-07-24T23:30:00.000,2026-07-25T00:25:00.000,2026-07-25T01:45:00.000,2026-07-25T02:37:00.000,L,Arrived,Delayed,55.0,52.0,False,False
2026-07-24,173,AI,Air India,Delhi,DEL,2026-07-24T04:20:00.000,2026-07-24T04:25:00.000,2026-07-24T07:00:00.000,2026-07-24T07:25:00.000,L,Arrived,Delayed,5.0,25.0,False,False
2026-07-24,185,AI,Air India,Delhi,DEL,2026-07-24T05:55:00.000,2026-07-24T06:01:00.000,2026-07-24T07:35:00.000,2026-07-24T07:52:00.000,L,Arrived,Delayed,6.0,17.0,False,False
2026-07-24,9106,6E,IndiGo,Delhi,DEL,2026-07-24T08:00:00.000,2026-07-24T09:13:00.000,2026-07-24T10:10:00.000,2026-07-24T11:36:00.000,L,Arrived,Delayed,73.0,86.0,False,False
2026-07-24,1518,IX,Air India Express,Guwahati,GAU,2026-07-24T09:00:00.000,2026-07-24T13:01:00.000,2026-07-24T10:40:00.000,2026-07-24T14:05:00.000,L,Arrived,Delayed,241.0,205.0,False,False
2026-07-24,1791,AI,Air India,Delhi,DEL,2026-07-24T09:30:00.000,2026-07-24T10:00:00.000,2026-07-24T11:50:00.000,2026-07-24T12:14:00.000,L,Arrived,Delayed,30.0,24.0,False,False
2026-07-24,2516,6E,IndiGo,Silchar,IXS,2026-07-24T12:05:00.000,2026-07-24T12:30:00.000,2026-07-24T13:15:00.000,2026-07-24T13:30:00.000,L,Arrived,Delayed,25.0,15.0,False,False
2026-07-24,9269,6E,IndiGo,Yangon,RGN,2026-07-24T12:40:00.000,2026-07-24T19:11:00.000,2026-07-24T13:35:00.000,2026-07-24T20:12:00.000,L,Arrived,Delayed,391.0,397.0,False,False
2026-07-24,6729,6E,IndiGo,Guwahati,GAU,2026-07-24T13:15:00.000,2026-07-24T13:35:00.000,2026-07-24T14:30:00.000,2026-07-24T14:48:00.000,L,Arrived,Delayed,20.0,18.0,False,False
2026-07-24,1996,IX,Air India Express,Agartala,IXA,2026-07-24T18:20:00.000,2026-07-24T18:54:00.000,2026-07-24T19:25:00.000,2026-07-24T20:08:00.000,L,Arrived,Delayed,34.0,43.0,False,False
2026-07-24,395,BG,Biman Bangladesh Airlines,Dhaka,DAC,2026-07-24T17:15:00.000,2026-07-24T17:46:00.000,2026-07-24T17:45:00.000,2026-07-24T18:06:00.000,L,Arrived,Delayed,31.0,21.0,False,False
2026-07-24,213,6E,IndiGo,Guwahati,GAU,2026-07-24T16:55:00.000,2026-07-24T17:31:00.000,2026-07-24T18:20:00.000,2026-07-24T18:51:00.000,L,Arrived,Delayed,36.0,31.0,False,False
2026-07-24,6561,6E,IndiGo,Pune,PNQ,2026-07-24T17:40:00.000,2026-07-24T18:09:00.000,2026-07-24T20:10:00.000,2026-07-24T20:42:00.000,L,Arrived,Delayed,29.0,32.0,False,False
2026-07-24,905,SG,SpiceJet,Delhi,DEL,2026-07-24T18:00:00.000,,2026-07-24T20:10:00.000,,C,Cancelled,Cancelled,0.0,0.0,True,False
2026-07-24,222,EY,Etihad Airways,Abu Dhabi,AUH,2026-07-24T14:00:00.000,2026-07-24T14:30:00.000,2026-07-24T20:30:00.000,2026-07-24T20:49:00.000,L,Arrived,Delayed,30.0,19.0,False,False
2026-07-24,6152,6E,IndiGo,Guwahati,GAU,2026-07-24T19:15:00.000,2026-07-24T19:31:00.000,2026-07-24T20:30:00.000,2026-07-24T20:45:00.000,L,Arrived,Delayed,16.0,15.0,False,False
2026-07-24,771,CD,Alliance Air,Guwahati,GAU,2026-07-24T19:30:00.000,2026-07-24T20:45:00.000,2026-07-24T21:15:00.000,2026-07-24T22:24:00.000,L,Arrived,Delayed,75.0,69.0,False,False
2026-07-24,1369,IX,Air India Express,Guwahati,GAU,2026-07-24T20:20:00.000,2026-07-24T23:43:00.000,2026-07-24T21:45:00.000,2026-07-25T01:04:00.000,L,Arrived,Delayed,203.0,199.0,False,False
2026-07-24,803,BZ*,Blue Dart Aviation,Guwahati,GAU,2026-07-24T23:15:00.000,,2026-07-25T01:40:00.000,2026-07-25T07:43:00.000,L,Arrived,Delayed,0.0,363.0,False,False
2026-07-24,6502,6E,IndiGo,Varanasi,VNS,2026-07-24T20:50:00.000,2026-07-24T21:20:00.000,2026-07-24T22:15:00.000,2026-07-24T22:46:00.000,L,Arrived,Delayed,30.0,31.0,False,False
2026-07-24,184,MH,Malaysia Airlines,Kuala Lumpur,KUL,2026-07-24T22:05:00.000,2026-07-24T22:17:00.000,2026-07-24T23:25:00.000,2026-07-24T23:42:00.000,L,Arrived,Delayed,12.0,17.0,False,False
2026-07-24,944,6E,IndiGo,Hyderabad,HYD,2026-07-24T21:15:00.000,2026-07-24T21:37:00.000,2026-07-24T23:25:00.000,2026-07-24T23:43:00.000,L,Arrived,Delayed,22.0,18.0,False,False
